age,gender,primary_tech_field,job_title,employment_type,work_arrangement,experience_years_total,experience_years_in_field,education_level,languages_spoken,skills,primary_skill,num_skills,certifications,company_size,annual_salary_usd,num_languages,num_certifications,total_skills + certificates
32,Female,Backend Development,Platform Engineer,Full-time,Remote,7.7,3.2,Associate's Degree,English,Spring Boot; PHP; Python,Spring Boot,3,,Small (11-50),100290.66,1,0,3
30,Female,QA & Testing,Other,Full-time,On-site,3.0,1.9,Bootcamp,English; Telugu,PyTest; API Testing; Cypress; JUnit; Postman; Jira; Jest; Load Testing,PyTest,8,,Startup (1-10),92383.12,2,0,8
32,Male,Backend Development,Other,Full-time,Remote,0.5,0.5,Bachelor's Degree,English; German; Spanish; Dutch,PHP; Express.js; Java; Rust; Spring Boot; C#; Go; Django,PHP,8,AWS Certified Solutions Architect,Enterprise (1000+),107153.59,4,1,9
31,Female,Database & Data Engineering,Other,Full-time,Hybrid,14.5,12.4,Bootcamp,English; German; Mandarin,Snowflake; Elasticsearch; Cassandra; dbt,Snowflake,4,Linux Foundation Certified,Medium (51-200),217074.54,3,1,5
42,Female,Embedded Systems & IoT,Other,Full-time,Remote,7.9,3.8,Bootcamp,English; Telugu,RTOS; ARM; PCB Design; Embedded Linux,RTOS,4,,Startup (1-10),152246.34,2,0,4
28,Male,Game Development,Other,Full-time,Remote,9.8,4.3,Bachelor's Degree,English,Maya; Photon; Blender,Maya,3,Google Cloud Professional,Small (11-50),178228.0,1,1,4
29,Male,Site Reliability Engineering,Other,Full-time,Hybrid,0.5,0.5,Bachelor's Degree,English; Arabic,CI/CD; Go; Linux; Terraform; Incident Management; Kubernetes; AWS; GCP,CI/CD,8,,Medium (51-200),135173.03,2,0,8
32,Prefer not to say,Full-Stack Development,Software Engineer,Full-time,Remote,6.2,5.2,Bootcamp,English; Italian,Node.js; Docker; GraphQL; AWS; TypeScript; Python; REST APIs; Redis,Node.js,8,,Small (11-50),142783.67,2,0,8
37,Male,QA & Testing,Other,Full-time,On-site,8.2,3.5,Bootcamp,English; Russian,Jira; TestRail; Cypress; Performance Testing; PyTest; Jest,Jira,6,,Small (11-50),82383.42,2,0,6
36,Male,Mobile Development,Other,Full-time,Remote,2.6,1.2,Bachelor's Degree,English; Russian,SwiftUI; Kotlin; Dart; Android SDK,SwiftUI,4,Azure Solutions Architect; CompTIA Security+; PMP,Startup (1-10),126312.78,2,3,7
36,Female,Product Management,Other,Full-time,Hybrid,1.1,0.6,Bachelor's Degree,Bengali; Portuguese; Tamil,Data Analysis; SQL; Roadmapping; Figma; Wireframing; A/B Testing,Data Analysis,6,,Medium (51-200),137323.76,3,0,6
18,Male,QA & Testing,Other,Full-time,Hybrid,0.6,0.5,Bachelor's Degree,English; Spanish; Arabic; Hindi,Jira; TestRail; Selenium; Performance Testing,Jira,4,,Medium (51-200),75297.95,4,0,4
32,Non-Binary,Cybersecurity,Other,Full-time,Remote,3.1,2.0,Bootcamp,English; Telugu,Ethical Hacking; Python; Wireshark; SIEM; Network Security; Cryptography; IDS/IPS; Linux,Ethical Hacking,8,AWS Certified Developer,Small (11-50),113369.94,2,1,9
24,Female,Data Science & ML,Other,Full-time,Remote,5.5,4.4,Bachelor's Degree,English; Tamil,Pandas; Keras; scikit-learn,Pandas,3,,Large (201-1000),223779.35,2,0,3
27,Prefer not to say,Full-Stack Development,Software Engineer,Full-time,Remote,9.0,4.2,Bachelor's Degree,English,Redis; TypeScript; MongoDB,Redis,3,Linux Foundation Certified,Large (201-1000),266044.62,1,1,4
32,Male,DevOps & Cloud,Platform Engineer,Contract,Remote,1.6,1.2,Bootcamp,English; Tamil,Jenkins; AWS; Kubernetes; Prometheus; CI/CD; Helm; Docker; Ansible,Jenkins,8,Kubernetes CKA,Medium (51-200),128092.54,2,1,9
35,Female,Backend Development,Other,Freelance,Remote,7.4,5.6,Master's Degree,Arabic; Japanese,Java; Python; Go; Ruby,Java,4,PMP; CEH,Large (201-1000),265842.78,2,2,6
48,Male,Blockchain & Web3,Other,Contract,Remote,5.7,4.9,Bootcamp,German,Go; IPFS; DeFi; Solidity; Web3.js; Hardhat; Ethereum; ethers.js,Go,8,,Large (201-1000),147963.03,1,0,8
34,Male,Full-Stack Development,Senior Software Engineer,Full-time,Hybrid,2.6,1.9,Bootcamp,English; Portuguese,REST APIs; AWS; Python; Redis; Vue.js; GraphQL; Docker,REST APIs,7,CEH,Small (11-50),115065.21,2,1,8
43,Male,Database & Data Engineering,Other,Full-time,Remote,0.5,0.5,PhD,French; Spanish; Portuguese,Airflow; Kafka; Spark; dbt; SQL; Snowflake; Elasticsearch; PostgreSQL,Airflow,8,CISSP,Startup (1-10),87282.0,3,1,9
34,Prefer not to say,Data Science & ML,Other,Full-time,Remote,3.3,2.0,Associate's Degree,English,scikit-learn; Spark; OpenCV,scikit-learn,3,,Large (201-1000),173367.32,1,0,3
35,Male,Game Development,Other,Full-time,On-site,2.3,1.1,Bachelor's Degree,English,C#; Maya; Physics Engine; OpenGL,C#,4,CEH; PMP,Startup (1-10),96749.65,1,2,6
35,Male,Full-Stack Development,Senior Software Engineer,Full-time,Remote,5.4,3.5,Master's Degree,English; German; Mandarin; Bengali,Docker; Vue.js; MongoDB; GraphQL,Docker,4,Google Cloud Professional,Large (201-1000),207578.79,4,1,5
